passenger1,passenger2,Number of flights together
139,190,5
272,290,4
515,518,4
521,542,4
649,690,4
729,743,6
746,763,9
768,793,5
739,797,6
749,760,5
844,862,5
844,848,5
827,847,6
813,899,4
932,952,4
1003,1086,4
382,731,4
374,704,4
328,792,5
392,746,4
1988,2000,4
1916,1991,4
2130,2144,4
2114,2144,4
2218,2256,4
2317,2379,4
2419,2474,4
2409,2474,4
119,6,4
210,255,4
208,296,4
334,354,6
707,709,5
756,780,4
821,856,5
804,845,4
859,894,8
923,972,4
1035,1051,5
1035,328,4
1057,382,4
1074,1250,4
1414,1423,4
1544,1569,5
1954,1969,4
1947,1971,6
2187,2188,4
2119,2135,4
2116,2182,4
2262,2288,4
2263,2293,6
2231,2272,5
2504,2545,5
2521,2567,5
2613,2681,4
2814,2872,4
3120,3145,4
3275,3300,5
3104,645,4
3157,688,4
3438,3444,4
3464,3483,4
1236,1509,4
3543,3581,4
3532,3598,4
3520,3592,4
3530,3583,4
3548,3593,4
3603,3678,5
3421,368,4
3461,701,4
1056,3411,5
3706,3791,4
3717,3791,4
3809,3837,4
3905,3985,4
4008,4041,5
4016,4025,7
272,679,7
2175,3198,4
1853,2781,6
215,2567,4
2567,606,4
230,2561,4
4202,4287,4
4209,4288,6
3174,733,5
3159,3471,4
2576,681,4
1368,1570,5
1254,83,4
1396,957,4
1351,2972,5
2941,993,6
1369,994,5
2969,975,9
1363,948,4
2975,980,4
1315,962,5
1503,266,5
3755,865,4
2293,3571,4
4465,4474,4
4424,4492,5
4411,4469,4
4460,4464,4
2325,3678,5
4551,4554,5
3874,4566,6
4029,4346,4
4665,4674,5
4618,4671,4
4646,4682,4
204,2857,4
2790,3087,4
1429,64,6
1248,1323,4
1209,4667,5
1984,3266,4
2446,3700,4
2004,3615,4
1868,4695,4
2941,4042,5
1337,4388,7
4083,928,5
4820,4824,4
2062,2281,4
2075,3585,4
5328,5377,4
3547,972,6
2263,2325,4
1384,923,4
2928,3675,4
2498,941,4
1048,4148,4
3787,5194,4
5483,5496,5
5456,5478,6
5416,5483,4
5410,5458,4
5406,5456,4
5526,5544,6
1244,3635,4
4373,5440,7
2939,5484,6
4309,5406,4
4083,5412,5
2323,4073,4
169,1976,5
2458,3329,5
2911,4169,4
1163,1376,4
5746,5767,4
5702,5766,4
5738,5772,5
5737,5761,4
5813,5847,4
1033,2949,5
2728,4991,4
1261,1528,4
5952,5976,5
2190,5196,4
6039,6069,7
6001,6077,7
6316,6339,4
2286,4432,5
3917,4984,4
2780,5727,4
1034,5775,4
4990,6049,6
