passengerId,Longest Run
1,5
10,1
100,1
1000,9
10000,10
10001,7
10002,7
10003,4
10004,13
10005,2
10006,3
10007,1
10008,8
10009,8
1001,14
10010,9
10011,4
10012,6
10013,4
10014,1
10015,13
10016,12
10017,12
10018,6
10019,4
1002,15
10020,3
10021,8
10022,10
10023,11
10024,13
10025,12
10026,3
10027,1
10028,1
10029,5
1003,5
10030,8
10031,1
10032,6
10033,10
10034,12
10035,7
10036,5
10037,8
10038,5
10039,1
1004,12
10040,8
10041,4
10042,7
10043,8
10044,8
10045,7
10046,15
10047,3
10048,12
10049,1
1005,17
10050,5
10051,1
10052,7
10053,7
10054,6
10055,4
10056,8
10057,9
10058,7
10059,1
1006,6
10060,7
10061,1
10062,1
10063,3
10064,3
10065,1
10066,6
10067,14
10068,1
10069,8
1007,13
10070,1
10071,1
10072,5
10073,5
10074,4
10075,7
10076,5
10077,5
10078,1
10079,6
1008,17
10080,6
10081,1
10082,5
10083,16
10084,4
10085,15
10086,11
10087,8
10088,2
10089,8
1009,15
10090,1
10091,1
10092,1
10093,7
10094,2
10095,8
10096,1
10097,8
10098,5
10099,5
101,5
1010,4
10100,1
10101,6
10102,5
10103,5
10104,12
10105,4
10106,4
10107,8
10108,3
10109,6
1011,10
10110,10
10111,1
10112,8
10113,1
10114,1
10115,12
10116,11
10117,8
10118,1
10119,4
1012,17
10120,4
10121,5
10122,1
10123,5
10124,1
10125,8
10126,3
10127,6
10128,15
10129,5
1013,17
10130,9
10131,4
10132,1
10133,3
10134,1
10135,2
10136,6
10137,5
10138,5
10139,5
1014,9
10140,1
10141,7
10142,3
10143,7
10144,1
10145,12
10146,1
10147,1
10148,1
10149,8
1015,16
10150,6
10151,7
10152,1
10153,6
10154,8
10155,5
10156,7
10157,1
10158,6
10159,5
1016,12
10160,6
10161,1
10162,8
10163,6
10164,4
10165,8
10166,8
10167,8
10168,9
10169,1
1017,5
10170,1
10171,4
10172,1
10173,8
10174,1
10175,12
10176,5
10177,7
10178,2
10179,12
1018,5
10180,9
10181,9
10182,1
10183,1
10184,8
10185,1
10186,6
10187,6
10188,6
10189,1
1019,9
10190,5
10191,1
10192,3
10193,1
10194,7
10195,1
10196,16
10197,3
10198,7
10199,7
102,6
1020,17
10200,4
10201,4
10202,4
10203,11
10204,8
10205,7
10206,7
10207,1
10208,3
10209,1
1021,14
10210,4
10211,1
10212,14
10213,1
10214,5
10215,1
10216,7
10217,1
10218,7
10219,6
1022,6
10220,6
10221,1
10222,4
10223,1
10224,6
10225,4
10226,5
10227,12
10228,4
10229,13
1023,17
10230,4
10231,5
10232,1
10233,3
10234,9
10235,9
10236,4
10237,3
10238,9
10239,1
1024,14
10240,6
10241,8
10242,1
10243,8
10244,13
10245,1
10246,4
10247,4
10248,8
10249,1
1025,18
10250,6
10251,1
10252,5
10253,9
10254,3
10255,5
10256,6
10257,5
10258,4
10259,4
1026,11
10260,3
10261,10
10262,5
10263,2
10264,7
10265,6
10266,11
10267,16
10268,1
10269,3
1027,10
10270,8
10271,9
10272,2
10273,3
10274,6
10275,2
10276,6
10277,6
10278,3
10279,5
1028,11
10280,2
10281,4
10282,4
10283,8
10284,2
10285,4
10286,1
10287,1
10288,7
10289,8
1029,20
10290,1
10291,3
10292,4
10293,1
10294,9
10295,5
10296,2
10297,6
10298,5
10299,6
103,10
1030,14
10300,4
10301,6
10302,1
10303,6
10304,1
10305,3
10306,12
10307,6
10308,13
10309,1
1031,13
10310,11
10311,8
10312,1
10313,10
10314,8
10315,11
10316,6
10317,1
10318,8
10319,1
1032,8
10320,8
10321,1
10322,9
10323,5
10324,1
10325,10
10326,9
10327,8
10328,11
10329,17
1033,16
10330,9
10331,9
10332,5
10333,1
10334,13
10335,8
10336,1
10337,3
10338,7
10339,6
1034,14
10340,7
10341,1
10342,3
10343,3
10344,5
10345,6
10346,11
10347,7
10348,4
10349,10
1035,10
10350,11
10351,1
10352,11
10353,10
10354,11
10355,5
10356,10
10357,13
10358,8
10359,10
1036,11
10360,1
10361,5
10362,1
10363,6
10364,7
10365,9
10366,1
10367,6
10368,12
10369,1
1037,9
10370,2
10371,13
10372,7
10373,9
10374,9
10375,1
10376,12
10377,12
10378,8
10379,10
1038,14
10380,6
10381,3
10382,8
10383,1
10384,13
10385,1
10386,7
10387,1
10388,5
10389,9
